item_code,food_name_english,food_name_hindi,food_type,food_category,slots,calories,carbs,fat,protein,fiber,food_season,Score,Special_slot,food_community,food_avoid_in_disorders,food_recommend_in_disorders,remarks,Detox_rank,Special_diet,code,remarks,courtesy,recipe,steps,video,gluten_free,source,portion,portion_unit,country,Diabetes_score,Diabetes_special,blood_pressure_Score,blood_pressure_special,Cholestrol_score,Cholestrol_special,PCOS_score,PCOS_special,net_carbs,WeightlossPlus_score,WeightlossPlus_special,muscle_building_score,special_slot_muscle_building_morning,special_slot_muscle_building_evening,Keto_Score,Keto_Slot,Hypothyroid_Score,Hypothyroid_Slot,Anti_Inflammatory_Score,Anti_Inflammatory_Slot,Fatty_Liver_Score,Fatty_Liver_Slot,Anemia_Score,Acidity_Score,Sleep_Score,Uric_Acid_Score,Calcium,Vitamin_D,Vitamin_B12_Score,Alkaline_Score,Alkaline_Slot,Prediabetes_Score,Prediabetes_Slot,High_Protein_Score,High_Protein_Slot,T1_Pregnancy_score,T1_Pregnancy_slot,T2_Pregnancy_score,T2_Pregnancy_slot,T3_Pregnancy_score,T3_Pregnancy_slot,Postpartum_score,Postpartum_slot,0-6_Lactation_score,0-6_Lactation_slot,7-12_Lactation_score,7-12_Lactation_slot,waterRetentionScore,waterRetentionSlot,fiteloWeightLoss_Score,fiteloWeightLossSlot,lunchCheatDayRank,lunchCheatDaySlot,dinnerCheatDayRank,dinnerCheatDaySlot,cookingProficiency,cookingTime,detoxFiteloRank,detoxFiteloSlot,travel_rank,travel_slot
1,75G Grilled Chicken With Stir Fry Veggies,75 ग्राम ग्रिल्ड चिकन स्टिर फ्राई वेजीज़ के साथ,NV,W,"[2,4,7]",168.8,10.64,7.92,13.84,4.096,"[""""]",9,7,"[""U""]","[""UA"",""A""]","[""T"",""P"",""D"", ""AN"",""HP""]",chicken,-1,-1,1,,FitrofyRecipes,"INGREDIENTS
For stir fry vegetables
1tsp Olive oil/ Sesame oil/ ghee
¼ cup roughly chopped Mushroom
1-2 sliced baby corns  (Optional)
¼ cup thin long sliced Carrot
¼ cup French Beans
¼ Steam cooked broccoli or cauliflower
½  cup Capsicum (red, yellow & green of your choice)
½ cup Zucchini (Optional)
1tbsp soy sauce
¼ tsp Vinegar
1 sliced red chill
2 to 3 basil leaves or Coriander leaves 
1 tbsp black and white sesame seeds mix  (Optional)
Salt (to taste)
1/2 tsp Pepper Powder
For Grilled Chicken
1 lemon’s juice
½  tsp Olive oil
4 tbsp Curd OR Greek Yogurt
1 tsp dried Oregano
2-3 cloves garlic
½ tsp Black Pepper
1 tsp Salt
1 green chilli
150g Skinless Chicken Breast","METHOD FOR STIR FRY VEGGIES
Take the oil in a non-stick pan. Heat up a little
 Add all of the vegetables.
Stir fry for a while
In a cup add Soy sauce, vinegar, with all the spices. Make a slurry
Evenly spread the slurry over the veggies
Cook for a while
Sprinkle the sesame seeds
Toss around the vegetables for a while and they are done!
 METHOD FOR GRILLED CHICKEN
Pound the chicken using a meat mallet or rolling pin
Mix all the ingredients in a mixing bowl except chicken and whisk them together.
Add pounded chicken and leave it to marinate for 20-25 minutes.
On a grilling pan, brush a little amount of oil and place the marinated chicken pieces.
Grill them completely
Sprinkle sesame seeds over them and serve with stir fry veggies",https://www.youtube.com/embed/AGs05H6nc_4?si=vvFNdEPUHgOBx-F_,,,1,Bowl- 200ml,"[""IND""]",9,7,6,7,6,7,9,7,8.18,9,7,9,7,7,9,7,9,7,3,7,6,7,9,6,9,-1,9,9,9,-1,-1,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,-1,-1,9,-1,3,3,9,-1,-1,-1
2,Rice Idli,चावल इदली,Ve,W,"[2,4,7]",73,15.2,0.3,2.2,1.3,"[""""]",3,-1,"[""S"",""U""]","[""D"", ""PD"",""P""]","[""T"",""S"",""A""]",-,-1,-1,2,,By sanjeev kapoor khazana,"1 cup Parboiled rice
  1/4 cup Rice raw
 1/2 cup Split black gram flour (urad dal ka atta) skinless 
1/2 cup Fenugreek seeds (methi dana) 
 Salt to taste","1.Place the half boiled rice and raw rice in a deep bowl and wash them 2-3 times. Drain off water and then soak in 3 cups water for at least 5-6 hours.               
2.Wash and soak the gram with the fenugreek seeds in 1 cup water for at least 2-3 hours.
3.Drain the gram, raw rice and fenugreek seeds and place in a blender. Grind it with ½ cup water to a smooth and spongy batter. Transfer into a deep bowl.
4.Drain the parboiled rice and place in the same blender. Grind with 1 cup water, to make a slightly coarse batter. Transfer this into the same deep bowl.
5.Add salt and mix both the batters with hand. Mix thoroughly in brisk whipping motions so as to aerate the batter well. The batter should have a dropping consistency.
6.Keep the bowl covered with a tight lid in a warm place overnight to ferment.
7.Use as required.",https://www.youtube.com/embed/5QJuRjc_noc,,,2,pc,"[""IND""]",-1,-1,6,-1,6,-1,-1,-1,13.9,-1,-1,3,-1,-1,-1,-1,3,-1,9,-1,9,-1,3,9,9,9,9,9,9,3,-1,-1,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,-1,-1,3,-1,3,-1,3,-1,6,6,-1,-1,-1,-1
3,75 Gm Grilled Fish With Stir Fry Veggies,75 ग्राम ग्रिल्ड मछली हलचल फ्राई वेजीज़,NV,W,"[3,4,6,7]",163.2,10.64,7.608,13.04,4.096,"[""""]",9,7,"[""U""]","[""F"",""SF"",""UA"",""A""]","[""B"",""C"",""T"",""P"",""D"",""S"",""HP""]",-,-1,-1,3,,Continental Desi Kitchen CDK,"[INGREDIENTS]
King fish/ Surmai / Seer fish steaks (3 nos rubbed with salt)
Olive oil (1/4 cup)
Minced garlic (3 large pods)
Juice of 1 lemon
Finely chopped fresh parsley leaves
Hot sauce (1 tbsp)
Salt (1/2 tsp)
Black pepper powder (1/2 tsp)
Sweet paprika (1/2 tsp)
Olive oil (1/2 tsp)
Butter (1 small cube)
Boiled beans, potatoes and carrots (cut lengthwise)
Salt
Black pepper powder
Iceberg lettuce leaves
Onion rings
Lemon slice
Garnish with chopped parsley",As per video,https://www.youtube.com/embed/nEVXpNQ2INI?si=HjID-7CGvk1GgmPr,,,1,Bowl- 200ml,"[""IND""]",9,7,9,7,9,7,9,7,8.18,9,7,9,7,7,9,7,9,7,9,7,6,7,9,6,9,-1,9,9,9,-1,-1,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,-1,9,-1,3,3,9,-1,-1,-1
4,Oats Idli,ओट्स इडली,Ve,W,"[2,4,7]",75,8.9,3.1,3,1.4,"[""""]",9,-1,"[""U""]","[""G""]","[""B"",""C"",""D""]",-,-1,-1,4,,FitrofyRecipes,"INGREDIENTS
1/4 cups oats
1 tsp oil (For brushing the idli pan)
½  tsp mustard seeds
1 tsp chana dal
1 tsp urad dal
1/2 tsp turmeric powder
1 Green chilli
¼ cup carrot , finely chopped
1tbsp coriander leaves , chopped
A pinch of salt
¼ cup curd
A pinch of fruit salt","METHOD
Take  oats in a pan and dry roast them for about 5 minutes until golden brown.
Let it cool down and then grind to make it a powder.
In a broad pan heat oil over medium flame.
Add mustard seeds to it and let them crackle.
Now add chana and urad dal, turmeric powder and green chillis. Mix well and saute until light brown.
Add the chopped carrots and coriander leaves. Combine all the dry ingredients except oats powder thoroughly along with a pinch of salt and cook for a minute or two.
Let the mixture cool down for few minutes and then grind them all together before adding into idli batter.
Transfer the prepared oats powder to a large bowl.
In this add salt and the fried mixture. Combine well.
Now add the required quantity of curd and stir thoroughly in one direction adding a pinch of fruit salt to it.
Prepare a medium thick batter and leave it covered for few minutes.
Now grease the idli moulds with ghee using a brush.
Pour the prepared oats idli batter in each mould and put it in the steamer.
Cover with a lid and steam for about 15 minutes over medium flame.
After 15 minutes check whether the idlis are properly cooked.
The tasty and healthy oats idli is ready to serve with coconut chutney or sambhar",https://www.youtube.com/embed/X9vz_PL2znQ,,,2,pc,"[""IND""]",9,-1,9,-1,9,-1,9,-1,7.5,3,-1,6,-1,-1,-1,-1,6,-1,6,-1,9,-1,6,9,9,9,9,9,9,1,-1,9,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,9,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
5,Boiled Rice/ White/ Plain Rice,उबला हुआ चावल/ सफेद/ सादे चावल,Ve,B,"[4,7]",146,32.3,0.4,3.2,0.6,"[""""]",3,-1,"[""U""]","[""D"", ""PD"",""P""]","[""A""]",-,-1,-1,5,,by tarla dalal,"1½ cups long grained rice (basmati), soaked for 30 minutes and drained
 Salt to taste 
1 tbsp oil","1. Boil 6 cups of water in a deep pan, add the soaked and drained rice, salt and oil, mix well and cook on a medium flame for 8 to 10 minutes or till the rice is 95% cooked. 

2. Drain, transfer to a plate and allow it to cool for 2 to 3 hours. Use as required.",https://www.youtube.com/embed/4NatT6qvcRs,,,1,Katori- 150ml,"[""IND""]",-1,-1,6,4,6,4,-1,-1,31.7,-1,-1,3,4,4,-1,-1,3,-1,3,-1,6,-1,3,9,9,9,9,9,9,3,-1,-1,-1,3,4,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,4,-1,-1,1,3,-1,-1,3,4
6,Jira Rice/ Jeera White Rice,जीरा चावल/ जीरा सफेद चावल,Ve,B,"[4,7]",154,32.5,1.3,3.4,1.6,"[""""]",1,-1,"[""U""]","[""D"", ""PD"",""P""]","[""A""]",-,-1,-1,6,,by sanjeev kapoor khazana,"1 teaspoon cumin seeds (jeera) 
1½ cups basmati rice soaked for 30 minutes 
Salt to taste 
1 tablespoon ghee 
1 tablespoon chopped coriander leaves","1. Heat 3 cups water in a non-stick pan. Add salt and rice, mix, cover and cook on medium heat till rice is half cooked. Strain the excess water and spread rice evenly onto a plate.
2. Heat ghee in a non-stick pan. Add cumin seeds and sauté till fragrant. Add cooked rice and sprinkle coriander leaves and toss to mix. Add salt and sprinkle some water, toss to mix, cover and cook for 4-5 minutes
. 3. Serve hot garnished with a coriander sprig.",https://www.youtube.com/embed/shq0l7-9408,,,1,Katori- 150ml,"[""IND""]",-1,-1,3,-1,3,-1,-1,-1,30.9,-1,-1,3,-1,-1,-1,-1,1,-1,3,4,6,4,6,9,9,9,9,9,9,1,-1,-1,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,1,-1,3,-1,3,-1,1,3,-1,-1,-1,-1
7,Whole Wheat Bread,साबुत गेहूँ की ब्रेड,Ve,B,[2],78,14.4,1,3,1.2,"[""""]",3,-1,"[""U""]","[""G"",""A""]","[""D"",""C"", ""B""]",--,-1,-1,7,,-,-,-,-,,,1,pc,"[""IND"",""USA"",""AUS"",""CAN""]",3,-1,3,-1,3,-1,3,-1,13.2,-1,-1,-1,-1,-1,-1,-1,3,-1,6,-1,6,-1,3,6,9,9,9,9,9,1,-1,3,-1,-1,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,-1,-1,-1,-1,1,1,-1,-1,3,2
8,Whole Wheat Chapati/ Roti,पूरे गेहूं चपती/ रोटी/ फुलका,Ve,B,"[2,4,7]",85,17.4,0.5,3,2.7,"[""""]",3,4,"[""U""]","[""G"",""A""]","[""AI""]",-,-1,-1,8,,By Kabita's Kitchen,,,https://www.youtube.com/embed/4eKuJ6Xf2Fs,,,1,pc,"[""IND""]",3,-1,3,4,3,4,3,-1,14.7,-1,-1,9,4,4,-1,-1,1,-1,9,-1,9,4,3,6,9,9,9,9,9,1,-1,3,-1,9,4,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,6,4,3,-1,6,4,9,-1,3,3,-1,-1,3,4
9,Brown Rice,भूरे रंग के चावल,Ve,B,"[4,7]",135,27.6,1.1,2.8,1.3,"[""""]",9,-1,"[""U""]","[""""]","[""B"",""C"",""T"",""P"",""D"",""S"",""UA"",""T""]",-,-1,-1,9,,Skinny Recipes,"Brown rice: 1/3 cup (60 gms)
Water: 4 cups
Pink Himalayan Salt as needed","Soak brown rice for 15 mins
boil water and add salt
add in brown rice, when water boils, put the flame on medium and cook for 15 mins.
Strain the water and keep the rice to a strainer
-----Note---- Cooking rice and straining the rice is the traditional method of cooking rice in Asia and some parts of South India. It also helps to cut down exposure to arsenic. ",https://www.youtube.com/embed/6zeDZvFxXwE,,,1,Katori- 150ml,"[""IND""]",9,4,9,4,6,4,9,4,26.3,-1,-1,6,4,4,-1,-1,9,4,9,4,9,4,6,6,9,9,9,9,9,1,-1,9,4,6,4,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,4,9,4,6,4,6,-1,3,6,-1,-1,-1,-1
10,Quinoa Upma with vegetables,क्विनोआ उपमा,Ve,W,"[2,4,7]",200,32.7,5.7,7.4,4.5,"[""""]",9,-1,"[""U""]","[""UA""]","[""C"",""P"",""D"",""B"",""S"",""UA"",""HP"",""CR""]",--,-1,-1,10,,By sanjeev kapoor khazana,"1 cup quinoa 
2 tablespoons oil 
½ teaspoon mustard seeds
 8-10 curry leaves
 2 medium  fresh onions, chopped 
¼ teaspoon turmeric powder 
2 green fresh chillies,
 Finely chopped 2 small potatoes, boiled, peeled and cut into cubes
 Salt to taste 
2 tablespoons roasted and crushed peanuts 
1 tablespoon finely chopped fresh coriander
 2 tablespoons scraped and cut fresh coconut","1. Rinse the quinoa well. Transfer the quinoa in to the deep nonstick pan. Add  some water. Boil the quinoa . Cover and and cook on low heat for eighteen to twenty minutes.
 2. Heat oil in a nonstick pan. Add the mustard seeds. Once they start to splutter, add curry leaves and sauté for a few seconds. 
3. Add the fresh onions and stir them  till golden brown. Add turmeric powder, green chillies and mix well.
 4. Add boiled potatoes and mix well. Add the cooked quinoa, salt and mix well. 
5. Take the pan off from the gas. Transfer in a serving bowl. 
6. Add roasted peanuts, coriander and coconut and serve hot.",https://www.youtube.com/embed/YPWKMDRFRB4,,,1,Bowl- 200ml,"[""IND""]",9,-1,9,-1,9,-1,9,2,28.2,9,2,6,2,2,-1,-1,9,7,9,2,9,2,9,9,9,9,9,9,9,3,-1,9,2,6,2,9,2,9,2,9,2,9,2,9,2,9,2,-1,-1,9,-1,6,-1,6,-1,6,6,9,4,-1,-1
